10
1	11	11
2	12	10
3	4	9
3	13	9
4	3	9
4	5	8
5	4	8
5	15	8
6	7	8
7	6	8
7	8	8
7	17	8
8	7	8
8	18	9
9	10	10
9	19	10
10	9	10
11	1	11
11	12	10
12	2	10
12	11	10
13	3	9
13	14	8
13	23	8
14	13	8
14	15	7
14	24	7
15	5	8
15	14	7
15	16	7
15	25	7
16	15	7
16	17	7
16	26	7
17	7	8
17	16	7
17	18	7
17	27	7
18	8	9
18	17	7
18	19	8
18	28	8
19	9	10
19	18	8
19	29	9
20	30	10
21	31	9
22	23	8
22	32	8
23	13	8
23	22	8
23	24	7
23	33	7
24	14	7
24	23	7
24	34	6
25	15	7
25	26	5
26	16	7
26	25	5
26	27	5
26	36	5
27	17	7
27	26	5
27	28	6
28	18	8
28	27	6
28	29	7
28	38	7
29	19	9
29	28	7
29	30	8
30	20	10
30	29	8
30	40	9
31	21	9
31	32	8
31	41	8
32	22	8
32	31	8
32	33	7
32	42	7
33	23	7
33	32	7
33	34	6
33	43	6
34	24	6
34	33	6
34	35	4
34	44	4
35	34	4
35	36	3
35	45	3
36	26	5
36	35	3
36	37	3
36	46	3
37	36	3
37	38	4
37	47	4
38	28	7
38	37	4
38	39	6
39	38	6
39	40	7
39	49	7
40	30	9
40	39	7
40	50	8
41	31	8
41	42	8
41	51	8
42	32	7
42	41	8
42	52	7
43	33	6
43	44	5
43	53	5
44	34	4
44	43	5
44	45	3
44	54	3
45	35	3
45	44	3
45	46	2
45	55	2
46	36	3
46	45	2
46	47	2
47	37	4
47	46	2
47	48	3
48	47	3
48	49	5
48	58	5
49	39	7
49	48	5
49	50	7
49	59	7
50	40	8
50	49	7
50	60	8
51	41	8
51	52	8
51	61	8
52	42	7
52	51	8
52	53	7
52	62	7
53	43	5
53	52	7
53	63	5
54	44	3
54	55	3
55	45	2
55	54	3
55	56	2
55	65	2
56	55	2
57	58	3
57	67	3
58	48	5
58	57	3
58	59	5
58	68	5
59	49	7
59	58	5
59	69	7
60	50	8
60	70	8
61	51	8
61	62	8
61	71	8
62	52	7
62	61	8
62	72	7
63	53	5
63	64	6
63	73	6
64	63	6
64	65	4
64	74	4
65	55	2
65	64	4
65	66	3
65	75	3
66	65	3
66	67	3
66	76	3
67	57	3
67	66	3
67	68	4
67	77	4
68	58	5
68	67	4
68	69	6
68	78	6
69	59	7
69	68	6
69	70	7
69	79	7
70	60	8
70	69	7
71	61	8
71	72	9
72	62	7
72	71	9
72	82	8
73	63	6
73	83	7
74	64	4
74	84	6
75	65	3
75	76	5
75	85	5
76	66	3
76	75	5
76	77	5
76	86	5
77	67	4
77	76	5
77	78	6
77	87	6
78	68	6
78	77	6
78	79	7
78	88	7
79	69	7
79	78	7
80	90	9
81	82	10
82	72	8
82	81	10
82	83	9
82	92	9
83	73	7
83	82	9
83	84	8
83	93	8
84	74	6
84	83	8
84	85	7
84	94	7
85	75	5
85	84	7
85	86	7
85	95	7
86	76	5
86	85	7
86	87	7
86	96	7
87	77	6
87	86	7
87	97	7
88	78	7
88	89	8
88	98	8
89	88	8
89	90	9
89	99	9
90	80	9
90	89	9
90	100	10
92	82	9
92	93	10
93	83	8
93	92	10
93	94	9
94	84	7
94	93	9
94	95	8
95	85	7
95	94	8
96	86	7
96	97	8
97	87	7
97	96	8
97	98	8
98	88	8
98	97	8
98	99	9
99	89	9
99	98	9
99	100	10
100	90	10
100	99	10
